实验目录,数据集,模型,LoRA秩,初始化,α值,训练时间(min),峰值内存(GB),吞吐量(样本/s),AUC(0-500),最佳训练损失,测试损失,测试损失标准差
outputs_mbpp_baseline,MBPP,OpenPangu-7B,16,Xavier,-,11.33,1.02,0.88,3588.34,0.1865,0.1852,0.0639
outputs_mbpp_alpha1.1,MBPP,OpenPangu-7B,16,FDT,1.1,11.36,1.02,0.88,2087.35,0.1829,0.1828,0.0638
